escola;Cod_turma;Turma;Tipo_Turma;Turno;Capacidade_sala;Serie;Alunos_Matriculados;Alunos_Matriculados_NEE
CAIC ELOMIR SILVA;21784;411;NORMAL;MANHÃ;25;4º ANO;16;0
CAIC ELOMIR SILVA;21785;412;NORMAL;MANHÃ;25;4º ANO;19;2
CAIC ELOMIR SILVA;21786;413;NORMAL;MANHÃ;25;4º ANO;16;1
CAIC ELOMIR SILVA;21787;421;NORMAL;TARDE;25;4º ANO;16;2
CAIC ELOMIR SILVA;21788;422;NORMAL;TARDE;25;4º ANO;18;2
CAIC ELOMIR SILVA;21789;423;NORMAL;TARDE;25;4º ANO;19;2
CAIC ELOMIR SILVA;21790;511;NORMAL;MANHÃ;25;5º ANO;18;0
CAIC ELOMIR SILVA;21791;512;NORMAL;MANHÃ;25;5º ANO;19;2
CAIC ELOMIR SILVA;21792;513;NORMAL;MANHÃ;25;5º ANO;17;0
CAIC ELOMIR SILVA;21793;521;NORMAL;TARDE;25;5º ANO;16;1
CAIC ELOMIR SILVA;21794;522;NORMAL;TARDE;25;5º ANO;19;3
CAIC ELOMIR SILVA;21795;523;NORMAL;TARDE;25;5º ANO;15;1
CAIC ELOMIR SILVA;21796;611;NORMAL;MANHÃ;35;6º ANO;31;3
CAIC ELOMIR SILVA;21797;612;NORMAL;MANHÃ;35;6º ANO;32;3
CAIC ELOMIR SILVA;21798;613;NORMAL;MANHÃ;35;6º ANO;23;2
CAIC ELOMIR SILVA;21799;614;NORMAL;MANHÃ;35;6º ANO;24;2
CAIC ELOMIR SILVA;21800;621;NORMAL;TARDE;35;6º ANO;26;1
CAIC ELOMIR SILVA;21801;622;NORMAL;TARDE;35;6º ANO;26;3
CAIC ELOMIR SILVA;21802;623;NORMAL;TARDE;35;6º ANO;20;3
CAIC ELOMIR SILVA;21803;624;NORMAL;TARDE;35;6º ANO;19;3
CAIC ELOMIR SILVA;21804;711;NORMAL;MANHÃ;36;7º ANO;34;4
CAIC ELOMIR SILVA;21805;712;NORMAL;MANHÃ;36;7º ANO;35;3
CAIC ELOMIR SILVA;21806;713;NORMAL;MANHÃ;36;7º ANO;34;3
CAIC ELOMIR SILVA;21808;714;NORMAL;MANHÃ;35;7º ANO;34;2
CAIC ELOMIR SILVA;21809;721;NORMAL;TARDE;35;7º ANO;27;0
CAIC ELOMIR SILVA;21810;722;NORMAL;TARDE;35;7º ANO;32;1
CAIC ELOMIR SILVA;21811;723;NORMAL;TARDE;35;7º ANO;29;0
CAIC ELOMIR SILVA;21812;724;NORMAL;TARDE;35;7º ANO;30;1
CAIC ELOMIR SILVA;21813;811;NORMAL;MANHÃ;35;8º ANO;35;3
CAIC ELOMIR SILVA;21814;812;NORMAL;MANHÃ;35;8º ANO;35;1
CAIC ELOMIR SILVA;21815;813;NORMAL;MANHÃ;35;8º ANO;33;2
CAIC ELOMIR SILVA;21816;814;NORMAL;MANHÃ;35;8º ANO;33;2
CAIC ELOMIR SILVA;21817;821;NORMAL;TARDE;35;8º ANO;33;3
CAIC ELOMIR SILVA;21818;822;NORMAL;TARDE;35;8º ANO;32;5
CAIC ELOMIR SILVA;21819;823;NORMAL;TARDE;35;8º ANO;31;4
CAIC ELOMIR SILVA;21820;824;NORMAL;TARDE;35;8º ANO;31;5
